id,type,last_name,first_name,gender,birth_year,party,region,position,tiktok_username
462,Person,Minnich,Andreas,male,1974,ÖVP,Österreich,Nationalrat,andreas.minnich
463,Person,Moitzi,Wolfgang,male,1984,SPÖ,Österreich,Nationalrat,wmoitzi
464,Person,Mold,Franz,male,1962,ÖVP,Niederösterreich,Landtag,team.bgm.franz.mo
467,Person,Muthsam,Amelie,female,2002,SPÖ,Österreich,Bundesrat,amelie.muthsam
472,Person,Müller,Manuel,male,1979,SPÖ,Kärnten,Landtag,manuelmueller21
473,Person,Müller,Christoph,male,1998,NEOS,Niederösterreich,Landtag,chrisi.mueller
477,Person,Nepp,Dominik,male,1982,FPÖ,Wien,Landesregierung,dominik_nepp
482,Person,Neßler,Barbara,female,1991,GRÜNE,Österreich,Nationalrat,barbara_nessler
488,Person,Nussbaum,Verena,female,1970,SPÖ,Österreich,Nationalrat,verena.nussbaum
489,Person,Oberhofer,Dominik,male,1980,NEOS,Österreich,Nationalrat,dominik.oberhofer
491,Person,Obermüller,Birgit,female,1966,NEOS,Tirol,Landtag,birgitobermueller
504,Person,Pansy,Sarah,female,1990,KPÖ PLUS,Salzburg,Landtag,sarah.pansy
508,Person,Pawlata,Eva,female,1976,SPÖ,Tirol,Landesregierung,evapawlata
511,Person,Peterl,Martin,male,1977,SPÖ,Österreich,Bundesrat,martin.peterl
516,Person,Plakolm,Claudia,female,1994,ÖVP,Österreich,Bundesregierung,claudiaplakolm
519,Person,Prack,Georg,male,1983,GRÜNE,Wien,Landtag,georgprack
521,Person,Prammer,Agnes Sirkka,female,1977,GRÜNE,Österreich,Nationalrat,agnesprammer
525,Person,Pröll,Alexander,male,1990,ÖVP,Österreich,Bundesregierung,alexander.proell
531,Person,Pühringer,Judith,female,1976,GRÜNE,Wien,Landesregierung,judith_puehringer
533,Person,Ragger,Christian,male,1973,FPÖ,Österreich,Nationalrat,christianragger
534,Person,Rakuscha,Maximilian,male,1992,SPÖ,Kärnten,Landtag,maximilianrakuscha
535,Person,Ranzmaier,Christofer,male,1987,FPÖ,Österreich,Nationalrat,cranzmaier
540,Person,Reif,Robert,male,1987,NEOS,Steiermark,Landtag,robert_reif
548,Person,Resch,Klemens,male,1989,FPÖ,Wien,Landtag,klemens_resch
552,Person,Riedlsperger,Susanna,female,2001,NEOS,Tirol,Landtag,riedlsperger
570,Person,Sauerschnig,Rene,male,1981,FPÖ,Salzburg,Landtag,renesauerschnig
574,Person,Schallmeiner,Ralph,male,1976,GRÜNE,Österreich,Nationalrat,ralphschallmeiner
581,Person,Scheiber,Beate,female,1974,ÖVP,Tirol,Landtag,beatescheiber0
589,Person,Schieder,Andreas,male,1969,SPÖ,EU,EP,andreas.schieder
593,Person,Schilling,Lena,female,2001,GRÜNE,EU,EP,dieschilling
601,Person,Schmidt,Elvira,female,1970,SPÖ,Niederösterreich,Landtag,elviraschmidt969
602,Person,Schmidt,Michaela,female,1983,SPÖ,Österreich,Bundesregierung,this.is.michaela.schmidt
604,Person,Schmiedtbauer,Simone,female,1974,ÖVP,Steiermark,Landesregierung,simone.schmiedtba
607,Person,Schnabel,Joachim,male,1976,ÖVP,Österreich,Nationalrat,joachim.schnabel
610,Person,Schnedlitz,Michael,male,1984,FPÖ,Österreich,Nationalrat,michaelschnedlitz
612,Person,Schnetzer-Sutterlüty,Gerda,female,1975,ÖVP,Vorarlberg,Landtag,schnetzer.sutterl
619,Person,Schuch-Gubik,Lisa,female,1994,FPÖ,Österreich,Nationalrat,lisa.schuchgubik
621,Person,Schulz,Manfred,male,1963,ÖVP,Niederösterreich,Landtag,manfred.schulz24
627,Person,Schwaighofer,Sebastian,male,2000,FPÖ,Österreich,Nationalrat,sebastianschwaighofer
629,Person,Schwarz,Johannes,male,1977,SPÖ,Steiermark,Landtag,hannes_schwarz
630,Person,Schwarz,Jakob,male,1985,GRÜNE,Österreich,Nationalrat,jakobcschwarz
644,Person,Seltenheim,Klaus,male,1984,SPÖ,Österreich,Nationalrat,klausseltenheim
648,Person,Shetty,Yannick,male,1995,NEOS,Österreich,Nationalrat,yannickshetty
650,Person,Sieber,Norbert,male,1969,ÖVP,Österreich,Nationalrat,norbert.sieber
651,Person,Silvan,Rudolf,male,1967,SPÖ,Österreich,Nationalrat,rudi_silvan
653,Person,Sint,Markus,male,1974,FRITZ,Tirol,Landtag,markus.sint
657,Person,Spanring,Andreas Arthur,male,1978,FPÖ,Österreich,Bundesrat,andreas_spanring
658,Person,Spenger,Rainer,male,1970,SPÖ,Niederösterreich,Landtag,rainer.spenger
668,Person,Stark,Kilian,male,1986,GRÜNE,Wien,Landtag,kilianstark14
675,Person,Steger,Petra,female,1987,FPÖ,EU,EP,petra.steger
677,Person,Steiner,Christoph,male,1988,FPÖ,Österreich,Nationalrat,christophsteinerfpoe
681,Person,Stelzer,Thomas,male,1967,ÖVP,Oberösterreich,Landesregierung,thomas.stelzer
683,Person,Stich,Paul,male,1998,SPÖ,Österreich,Nationalrat,paul_stich
687,Person,Strasser,Georg,male,1971,ÖVP,Österreich,Nationalrat,georg_strasser
691,Person,Stumpf,Michael,male,1988,FPÖ,Wien,Landtag,michael_stumpf
692,Person,Stögmüller,David,male,1987,GRÜNE,Österreich,Nationalrat,d_stoegi
693,Person,Stürgkh,Anna,female,1994,NEOS,EU,EP,anna.gkh
696,Person,Sunitsch,Nicole,female,1979,FPÖ,Österreich,Nationalrat,nicole.sunitsch3
697,Person,Svazek,Marlene,female,1992,FPÖ,Salzburg,Landesregierung,marlenesvazek
698,Person,Swatek,Nikolaus,male,1991,NEOS,Steiermark,Landtag,nikoswatek
701,Person,Tanzler,Petra,female,1973,SPÖ,Österreich,Nationalrat,petra.tanzler
703,Person,Taucher,Josef,male,1967,SPÖ,Wien,Landtag,joetaucher
710,Person,Thoma,Christoph,male,1973,ÖVP,Österreich,Bundesrat,christophthoma73
712,Person,Thürschweller,Andreas,male,1973,SPÖ,Steiermark,Landtag,thuerli2704
715,Person,Tomaselli,Nina,female,1985,GRÜNE,Österreich,Nationalrat,dietomaselli
719,Person,Triller,Marco,male,1986,FPÖ,Steiermark,Landtag,marco.triller
722,Person,Tschank,Markus,male,1979,FPÖ,Österreich,Nationalrat,markus_tschank
725,Person,Ulram,Markus,male,1980,ÖVP,Burgenland,Landtag,markusulram
728,Person,Vilimsky,Harald,male,1966,FPÖ,EU,EP,haraldvilimsky
729,Person,Voglauer,Olga,female,1980,GRÜNE,Österreich,Nationalrat,olgavoglauer
